text,word1,word2,word3,word4,word5,word6
the New York Stock Exchange (NYSE),the,New,York,Stock,Exchange,NYSE
of Wild Fauna and Flora (CITES),of,Wild,Fauna,and,Flora,CITES
for Financial Markets in Europe (AFME),for,Financial,Markets,in,Europe,AFME
European Financial Services Round Table (EFR),European,Financial,Services,Round,Table,EFR
Industry and Financial Markets Association (SIFMA),Industry,and,Financial,Markets,Association,SIFMA
the Reputational Risk Review Process (RRRP),the,Reputational,Risk,Review,Process,RRRP
the World Commission on Dams (WCD),the,World,Commission,on,Dams,WCD
Roundtable on Sustainable Palm Oil (RSPO),Roundtable,on,Sustainable,Palm,Oil,RSPO
The Customized Fund Investment Group (CFIG),The,Customized,Fund,Investment,Group,CFIG
of purchased emissions reduction certificates (ERC),of,purchased,emissions,reduction,certificates,ERC
kilograms of paper per employee (FTE),kilograms,of,paper,per,employee,FTE
European Financial Services Round Table (EFR),European,Financial,Services,Round,Table,EFR
Roundtable on Sustainable Palm Oil (RSPO),Roundtable,on,Sustainable,Palm,Oil,RSPO
the Credit Suisse Staff Council (PKOM),the,Credit,Suisse,Staff,Council,PKOM
the International Chamber of Commerce (ICC),the,International,Chamber,of,Commerce,ICC
in the Global Reporting Initiative (GRI),in,the,Global,Reporting,Initiative,GRI
through the Green Business Initiative (GBI),through,the,Green,Business,Initiative,GBI
the New York Stock Exchange (NYSE),the,New,York,Stock,Exchange,NYSE
the Reputational Risk Review Process (RRRP),the,Reputational,Risk,Review,Process,RRRP
Suisse Real Estate Asset Management (REAM),Suisse,Real,Estate,Asset,Management,REAM
to the Cathy Freeman Foundation (CFF),to,the,Cathy,Freeman,Foundation,CFF
the Credit Suisse Staff Council (PKOM),the,Credit,Suisse,Staff,Council,PKOM
of purchased emissions reduction certificates (ERC),of,purchased,emissions,reduction,certificates,ERC
Roundtable on Sustainable Palm Oil (RSPO),Roundtable,on,Sustainable,Palm,Oil,RSPO
tures a rooftop solar photovoltaic (PV),tures,a,rooftop,solar,photovoltaic,PV
for Financial Markets in Europe (AFME),for,Financial,Markets,in,Europe,AFME
an International Chamber of Commerce (ICC),an,International,Chamber,of,Commerce,ICC
Roundtable on Sustainable Palm Oil (RSPO),Roundtable,on,Sustainable,Palm,Oil,RSPO
at the International Energy Agency (IEA),at,the,International,Energy,Agency,IEA
by the Global Reporting Initiative (GRI),by,the,Global,Reporting,Initiative,GRI
